#nucleus-nld-mass-strength-omp for 168Ho-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
3.10000E+01 3.65304E-11 1.04000E-07 6.83785E-06 1.94669E-02
3.20000E+01 3.30055E-11 9.62586E-08 6.79542E-06 1.98184E-02
3.30000E+01 2.99252E-11 8.94177E-08 6.75709E-06 2.01904E-02
#nucleus-nld-mass-strength-omp for 168Ho-1-1-1-2
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 7.94008E-09 0.00000E+00 2.20424E-16
2.00000E-03 6.46226E-13 7.93951E-09 3.24829E-20 1.76350E-15
5.00000E-03 1.61557E-12 7.93779E-09 1.26886E-18 2.75597E-14
1.00000E-02 3.23114E-12 7.93493E-09 2.03018E-17 2.20544E-13
2.00000E-02 6.46234E-12 7.92919E-09 3.24833E-16 1.76541E-12
5.00000E-02 1.61569E-11 7.91180E-09 1.26896E-14 2.76343E-11
1.00000E-01 3.23213E-11 7.88234E-09 2.03081E-13 2.21734E-10
2.00000E-01 6.47027E-11 7.82184E-09 3.25231E-12 1.78435E-09
3.00000E-01 9.72046E-11 7.75964E-09 1.64904E-11 6.05730E-09
4.00000E-01 1.29888E-10 7.69625E-09 5.22310E-11 1.44410E-08
5.00000E-01 1.62814E-10 7.63215E-09 1.27874E-10 2.83671E-08
6.00000E-01 1.96046E-10 7.56784E-09 2.66067E-10 4.92991E-08
7.00000E-01 2.29647E-10 7.50381E-09 4.94919E-10 7.87335E-08
8.00000E-01 2.63682E-10 7.44057E-09 8.48264E-10 1.18202E-07
9.00000E-01 2.98220E-10 7.37862E-09 1.36598E-09 1.69272E-07
1.00000E+00 3.33329E-10 7.31846E-09 2.09437E-09 2.33553E-07
1.10000E+00 3.69080E-10 7.26061E-09 3.08659E-09 3.12696E-07
1.20000E+00 4.05549E-10 7.20558E-09 4.40319E-09 4.08398E-07
1.30000E+00 4.42813E-10 7.15390E-09 6.11266E-09 5.22409E-07
1.40000E+00 4.80952E-10 7.10611E-09 8.29212E-09 6.56534E-07
1.50000E+00 5.20051E-10 7.06275E-09 1.10281E-08 8.12642E-07
1.60000E+00 5.60199E-10 7.02437E-09 1.44172E-08 9.92669E-07
1.70000E+00 6.01489E-10 6.99154E-09 1.85675E-08 1.19863E-06
1.80000E+00 6.44020E-10 6.96485E-09 2.35992E-08 1.43261E-06
1.90000E+00 6.87896E-10 6.94488E-09 2.96458E-08 1.69679E-06
2.00000E+00 7.33226E-10 6.93224E-09 3.68560E-08 1.99348E-06
2.20000E+00 8.28724E-10 6.93149E-09 5.54444E-08 2.69405E-06
2.40000E+00 9.31537E-10 6.96785E-09 8.09122E-08 3.55504E-06
2.60000E+00 1.04282E-09 7.04689E-09 1.15162E-07 4.59953E-06
2.80000E+00 1.16390E-09 7.17458E-09 1.60535E-07 5.85345E-06
3.00000E+00 1.29627E-09 7.35735E-09 2.19907E-07 7.34613E-06
3.20000E+00 1.44165E-09 7.60214E-09 2.96817E-07 9.11094E-06
3.40000E+00 1.60199E-09 7.91648E-09 3.95620E-07 1.11861E-05
3.60000E+00 1.77954E-09 8.30857E-09 5.21669E-07 1.36155E-05
3.80000E+00 1.97681E-09 8.78736E-09 6.81548E-07 1.64499E-05
4.00000E+00 2.19666E-09 9.36270E-09 8.83330E-07 1.97479E-05
4.50000E+00 2.86636E-09 1.12971E-08 1.64115E-06 3.04953E-05
5.00000E+00 3.75152E-09 1.41083E-08 2.94644E-06 4.60043E-05
5.50000E+00 4.89327E-09 1.80603E-08 5.11526E-06 6.83466E-05
6.00000E+00 6.25311E-09 2.38784E-08 8.48652E-06 1.00590E-04
6.50000E+00 7.58549E-09 3.26753E-08 1.30889E-05 1.47303E-04
7.00000E+00 8.38167E-09 4.43128E-08 1.80636E-05 2.15332E-04
7.50000E+00 8.19802E-09 5.97566E-08 2.17307E-05 3.15015E-04
8.00000E+00 7.15515E-09 8.03712E-08 2.30180E-05 4.62105E-04
8.50000E+00 5.78850E-09 1.08119E-07 2.23359E-05 6.80867E-04
9.00000E+00 4.52026E-09 1.45876E-07 2.07048E-05 1.00912E-03
9.50000E+00 3.50223E-09 1.97928E-07 1.88667E-05 1.50651E-03
1.00000E+01 2.73138E-09 2.70775E-07 1.71618E-05 2.26820E-03
1.05000E+01 2.15759E-09 3.74373E-07 1.56934E-05 3.44676E-03
1.10000E+01 1.72958E-09 5.23929E-07 1.44644E-05 5.28518E-03
1.15000E+01 1.40689E-09 7.41865E-07 1.34442E-05 8.15658E-03
1.20000E+01 1.16019E-09 1.05742E-06 1.25965E-05 1.25759E-02
1.25000E+01 9.68759E-10 1.49484E-06 1.18885E-05 1.90578E-02
1.30000E+01 8.18066E-10 2.03038E-06 1.12927E-05 2.75656E-02
1.35000E+01 6.97814E-10 2.52019E-06 1.07875E-05 3.65699E-02
1.40000E+01 6.00641E-10 2.72819E-06 1.03557E-05 4.31002E-02
1.45000E+01 5.21210E-10 2.56570E-06 9.98381E-06 4.51492E-02
1.50000E+01 4.55595E-10 2.18849E-06 9.66124E-06 4.34302E-02
1.55000E+01 4.00874E-10 1.78410E-06 9.37957E-06 3.99283E-02
1.60000E+01 3.54838E-10 1.44007E-06 9.13207E-06 3.61283E-02
1.65000E+01 3.15798E-10 1.17129E-06 8.91336E-06 3.27020E-02
1.70000E+01 2.82451E-10 9.66542E-07 8.71906E-06 2.98337E-02
1.75000E+01 2.53775E-10 8.10521E-07 8.54560E-06 2.75044E-02
1.80000E+01 2.28964E-10 6.90307E-07 8.39004E-06 2.56334E-02
1.85000E+01 2.07375E-10 5.96282E-07 8.24994E-06 2.41339E-02
1.90000E+01 1.88491E-10 5.21561E-07 8.12328E-06 2.29303E-02
1.95000E+01 1.71894E-10 4.61255E-07 8.00835E-06 2.19616E-02
2.00000E+01 1.57240E-10 4.11875E-07 7.90372E-06 2.11799E-02
2.10000E+01 1.32683E-10 3.36488E-07 7.72063E-06 2.00368E-02
2.20000E+01 1.13091E-10 2.82209E-07 7.56619E-06 1.92904E-02
2.30000E+01 9.72512E-11 2.41607E-07 7.43461E-06 1.88092E-02
2.40000E+01 8.42921E-11 2.10266E-07 7.32151E-06 1.85082E-02
2.50000E+01 7.35780E-11 1.85432E-07 7.22351E-06 1.83297E-02
2.60000E+01 6.46362E-11 1.65320E-07 7.13798E-06 1.82568E-02
2.70000E+01 5.71097E-11 1.48725E-07 7.06287E-06 1.83931E-02
2.80000E+01 5.07257E-11 1.34815E-07 6.99652E-06 1.85948E-02
2.90000E+01 4.52725E-11 1.22994E-07 6.93759E-06 1.88477E-02
3.00000E+01 4.05845E-11 1.12830E-07 6.88500E-06 1.91412E-02
3.10000E+01 3.65304E-11 1.04000E-07 6.83785E-06 1.94669E-02
3.20000E+01 3.30055E-11 9.62586E-08 6.79542E-06 1.98184E-02
3.30000E+01 2.99252E-11 8.94177E-08 6.75709E-06 2.01904E-02
#nucleus-nld-mass-strength-omp for 168Ho-1-1-2-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E-03 2.65608E-12 3.14787E-11 1.33509E-19 1.58229E-18
5.00000E-03 6.64020E-12 7.86969E-11 5.21520E-18 6.18084E-17
1.00000E-02 1.32804E-11 1.57394E-10 8.34434E-17 9.88935E-16
2.00000E-02 2.65611E-11 3.14789E-10 1.33511E-15 1.58230E-14
5.00000E-02 6.64071E-11 7.86987E-10 5.21560E-14 6.18098E-13
1.00000E-01 1.32845E-10 1.57408E-09 8.34690E-13 9.89025E-12
2.00000E-01 2.65937E-10 3.14903E-09 1.33675E-11 1.58288E-10
3.00000E-01 3.99525E-10 4.72572E-09 6.77778E-11 8.01700E-10
4.00000E-01 5.33857E-10 6.30502E-09 2.14677E-10 2.53540E-09
5.00000E-01 6.69188E-10 7.88781E-09 5.25579E-10 6.19507E-09
6.00000E-01 8.05775E-10 9.47496E-09 1.09357E-09 1.28591E-08
7.00000E-01 9.43880E-10 1.10674E-08 2.03419E-09 2.38516E-08
8.00000E-01 1.08377E-09 1.26659E-08 3.48648E-09 4.07461E-08
9.00000E-01 1.22573E-09 1.42715E-08 5.61437E-09 6.53698E-08
1.00000E+00 1.37003E-09 1.58851E-08 8.60814E-09 9.98088E-08
1.10000E+00 1.51697E-09 1.75075E-08 1.26863E-08 1.46414E-07
1.20000E+00 1.66686E-09 1.91398E-08 1.80977E-08 2.07807E-07
1.30000E+00 1.82002E-09 2.07828E-08 2.51239E-08 2.86889E-07
1.40000E+00 1.97678E-09 2.24375E-08 3.40818E-08 3.86846E-07
1.50000E+00 2.13748E-09 2.41049E-08 4.53269E-08 5.11163E-07
1.60000E+00 2.30250E-09 2.57861E-08 5.92569E-08 6.63628E-07
1.70000E+00 2.47220E-09 2.74819E-08 7.63152E-08 8.48347E-07
1.80000E+00 2.64701E-09 2.91935E-08 9.69960E-08 1.06975E-06
1.90000E+00 2.82735E-09 3.09219E-08 1.21848E-07 1.33262E-06
2.00000E+00 3.01366E-09 3.26682E-08 1.51483E-07 1.64208E-06
2.20000E+00 3.40617E-09 3.62189E-08 2.27884E-07 2.42316E-06
2.40000E+00 3.82875E-09 3.98547E-08 3.32560E-07 3.46174E-06
2.60000E+00 4.28615E-09 4.35855E-08 4.73334E-07 4.81329E-06
2.80000E+00 4.78379E-09 4.74214E-08 6.59821E-07 6.54076E-06
3.00000E+00 5.32785E-09 5.13733E-08 9.03849E-07 8.71528E-06
3.20000E+00 5.92537E-09 5.54528E-08 1.21996E-06 1.14170E-05
3.40000E+00 6.58442E-09 5.96724E-08 1.62605E-06 1.47364E-05
3.60000E+00 7.31416E-09 6.40452E-08 2.14413E-06 1.87747E-05
3.80000E+00 8.12498E-09 6.85856E-08 2.80126E-06 2.36463E-05
4.00000E+00 9.02858E-09 7.33089E-08 3.63061E-06 2.94793E-05
4.50000E+00 1.17812E-08 8.60307E-08 6.74537E-06 4.92573E-05
5.00000E+00 1.54193E-08 1.00306E-07 1.21103E-05 7.87801E-05
5.50000E+00 2.01120E-08 1.16510E-07 2.10244E-05 1.21796E-04
6.00000E+00 2.57012E-08 1.35116E-07 3.48808E-05 1.83375E-04
6.50000E+00 3.11774E-08 1.56729E-07 5.37973E-05 2.70439E-04
7.00000E+00 3.44498E-08 1.82132E-07 7.42440E-05 3.92519E-04
7.50000E+00 3.36950E-08 2.12354E-07 8.93161E-05 5.62892E-04
8.00000E+00 2.94087E-08 2.48766E-07 9.46074E-05 8.00279E-04
8.50000E+00 2.37916E-08 2.93214E-07 9.18036E-05 1.13142E-03
9.00000E+00 1.85789E-08 3.48222E-07 8.50996E-05 1.59501E-03
9.50000E+00 1.43947E-08 4.17273E-07 7.75448E-05 2.24787E-03
1.00000E+01 1.12264E-08 5.05212E-07 7.05373E-05 3.17434E-03
1.05000E+01 8.86801E-09 6.18780E-07 6.45021E-05 4.50074E-03
1.10000E+01 7.10883E-09 7.67210E-07 5.94506E-05 6.41611E-03
1.15000E+01 5.78253E-09 9.62556E-07 5.52575E-05 9.19813E-03
1.20000E+01 4.76852E-09 1.21859E-06 5.17735E-05 1.32306E-02
1.25000E+01 3.98173E-09 1.54516E-06 4.88632E-05 1.89620E-02
1.30000E+01 3.36236E-09 1.93217E-06 4.64146E-05 2.66720E-02
1.35000E+01 2.86811E-09 2.32005E-06 4.43381E-05 3.58656E-02
1.40000E+01 2.46872E-09 2.58297E-06 4.25633E-05 4.45331E-02
1.45000E+01 2.14225E-09 2.59273E-06 4.10349E-05 4.96640E-02
1.50000E+01 1.87256E-09 2.34416E-06 3.97091E-05 4.97096E-02
1.55000E+01 1.64765E-09 1.96102E-06 3.85513E-05 4.58835E-02
1.60000E+01 1.45843E-09 1.57244E-06 3.75341E-05 4.04683E-02
1.65000E+01 1.29798E-09 1.24230E-06 3.66352E-05 3.50638E-02
1.70000E+01 1.16091E-09 9.82930E-07 3.58366E-05 3.03423E-02
1.75000E+01 1.04305E-09 7.85128E-07 3.51236E-05 2.64384E-02
1.80000E+01 9.41073E-10 6.35142E-07 3.44842E-05 2.32739E-02
1.85000E+01 8.52339E-10 5.20751E-07 3.39084E-05 2.07169E-02
1.90000E+01 7.74725E-10 4.32543E-07 3.33878E-05 1.86410E-02
1.95000E+01 7.06507E-10 3.63638E-07 3.29155E-05 1.69416E-02
2.00000E+01 6.46277E-10 3.09092E-07 3.24854E-05 1.55367E-02
2.10000E+01 5.45345E-10 2.29848E-07 3.17329E-05 1.33745E-02
2.20000E+01 4.64821E-10 1.76528E-07 3.10981E-05 1.18103E-02
2.30000E+01 3.99716E-10 1.39186E-07 3.05573E-05 1.06404E-02
2.40000E+01 3.46452E-10 1.12139E-07 3.00924E-05 9.74025E-03
2.50000E+01 3.02416E-10 9.19885E-08 2.96896E-05 9.03095E-03
2.60000E+01 2.65664E-10 7.66127E-08 2.93381E-05 8.46060E-03
2.70000E+01 2.34729E-10 6.46387E-08 2.90294E-05 7.99399E-03
2.80000E+01 2.08490E-10 5.51487E-08 2.87567E-05 7.60657E-03
2.90000E+01 1.86076E-10 4.75118E-08 2.85145E-05 7.28074E-03
3.00000E+01 1.66808E-10 4.12838E-08 2.82983E-05 7.00363E-03
3.10000E+01 1.50145E-10 3.61445E-08 2.81045E-05 6.76562E-03
3.20000E+01 1.35657E-10 3.18592E-08 2.79301E-05 6.55941E-03
3.30000E+01 1.22997E-10 2.82524E-08 2.77726E-05 6.37936E-03
#nucleus-nld-mass-strength-omp for 168Ho-1-1-2-2
      E       f(M1)        f(E1)        T(M1)        T(E1)
1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
2.00000E-03 2.65608E-12 3.14787E-11 1.33509E-19 1.58229E-18
5.00000E-03 6.64020E-12 7.86969E-11 5.21520E-18 6.18084E-17
1.00000E-02 1.32804E-11 1.57394E-10 8.34434E-17 9.88935E-16
2.00000E-02 2.65611E-11 3.14789E-10 1.33511E-15 1.58230E-14
5.00000E-02 6.64071E-11 7.86987E-10 5.21560E-14 6.18098E-13
1.00000E-01 1.32845E-10 1.57408E-09 8.34690E-13 9.89025E-12
2.00000E-01 2.65937E-10 3.14903E-09 1.33675E-11 1.58288E-10
3.00000E-01 3.99525E-10 4.72572E-09 6.77778E-11 8.01700E-10
4.00000E-01 5.33857E-10 6.30502E-09 2.14677E-10 2.53540E-09
5.00000E-01 6.69188E-10 7.88781E-09 5.25579E-10 6.19507E-09
6.00000E-01 8.05775E-10 9.47496E-09 1.09357E-09 1.28591E-08
7.00000E-01 9.43880E-10 1.10674E-08 2.03419E-09 2.38516E-08
8.00000E-01 1.08377E-09 1.26659E-08 3.48648E-09 4.07461E-08
9.00000E-01 1.22573E-09 1.42715E-08 5.61437E-09 6.53698E-08
1.00000E+00 1.37003E-09 1.58851E-08 8.60814E-09 9.98088E-08
1.10000E+00 1.51697E-09 1.75075E-08 1.26863E-08 1.46414E-07
1.20000E+00 1.66686E-09 1.91398E-08 1.80977E-08 2.07807E-07
1.30000E+00 1.82002E-09 2.07828E-08 2.51239E-08 2.86889E-07
1.40000E+00 1.97678E-09 2.24375E-08 3.40818E-08 3.86846E-07
1.50000E+00 2.13748E-09 2.41049E-08 4.53269E-08 5.11163E-07
1.60000E+00 2.30250E-09 2.57861E-08 5.92569E-08 6.63628E-07
1.70000E+00 2.47220E-09 2.74819E-08 7.63152E-08 8.48347E-07
1.80000E+00 2.64701E-09 2.91935E-08 9.69960E-08 1.06975E-06
1.90000E+00 2.82735E-09 3.09219E-08 1.21848E-07 1.33262E-06
2.00000E+00 3.01366E-09 3.26682E-08 1.51483E-07 1.64208E-06
2.20000E+00 3.40617E-09 3.62189E-08 2.27884E-07 2.42316E-06
2.40000E+00 3.82875E-09 3.98547E-08 3.32560E-07 3.46174E-06
2.60000E+00 4.28615E-09 4.35855E-08 4.73334E-07 4.81329E-06
2.80000E+00 4.78379E-09 4.74214E-08 6.59821E-07 6.54076E-06
3.00000E+00 5.32785E-09 5.13733E-08 9.03849E-07 8.71528E-06
3.20000E+00 5.92537E-09 5.54528E-08 1.21996E-06 1.14170E-05
3.40000E+00 6.58442E-09 5.96724E-08 1.62605E-06 1.47364E-05
3.60000E+00 7.31416E-09 6.40452E-08 2.14413E-06 1.87747E-05
3.80000E+00 8.12498E-09 6.85856E-08 2.80126E-06 2.36463E-05
4.00000E+00 9.02858E-09 7.33089E-08 3.63061E-06 2.94793E-05
4.50000E+00 1.17812E-08 8.60307E-08 6.74537E-06 4.92573E-05
5.00000E+00 1.54193E-08 1.00306E-07 1.21103E-05 7.87801E-05
