#ZVView-data-copy:  21-Dec-2022 12:58:22
#=======================================
#
#name:   JENDL-5: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  715
#data...
#            X            Y
#          MeV        barns
    4.75896e-6      40.0138 
    4.76104e-6      43.4626 
    4.76311e-6      47.1009 
    4.76622e-6      52.9113 
    4.76933e-6      59.1376 
    4.77228e-6       65.406 
    4.77577e-6      73.2747 
    4.77927e-6       81.586 
    4.78363e-6      92.5235 
    4.78887e-6      106.301 
     4.7976e-6      130.233 
    4.80781e-6      158.336 
    4.81416e-6      175.057 
     4.8205e-6      190.701 
    4.82685e-6      204.939 
     4.8332e-6      217.547 
    4.83955e-6      228.407 
     4.8459e-6      237.504 
    4.85224e-6      244.913 
    4.85859e-6      250.777 
    4.86494e-6      255.282 
    4.87135e-6      258.664 
    4.87993e-6      261.737 
     4.8928e-6      264.159 
    4.90997e-6      265.137 
    4.91855e-6      265.167 
    5.40641e-6      251.759 
    5.75808e-6      243.054 
     6.3072e-6      230.945 
    6.86028e-6      220.382 
    7.46187e-6       210.25 
    8.23072e-6      199.017 
    8.88978e-6      190.677 
    9.53482e-6      183.342 
    1.06656e-5      171.483 
    1.15202e-5      163.373 
    1.23561e-5      156.382 
    1.35338e-5      147.693 
    1.46182e-5      140.727 
    1.56789e-5      134.708 
    1.66988e-5      129.497 
    1.77858e-5      124.471 
    1.93455e-5      118.075 
    2.11893e-5       111.54 
    2.30475e-5      105.818 
    2.47198e-5       101.29 
    2.68875e-5      96.0648 
    2.92453e-5      91.1496 
    3.11491e-5      87.6276 
    3.31753e-5      84.2335 
    3.55825e-5      80.6211 
    3.87028e-5      76.4779 
    4.23936e-5      72.2429 
    4.57882e-5      68.8286 
     4.9457e-5      65.6042 
    5.37939e-5      62.2199 
    5.81014e-5      59.2908 
    6.23172e-5      56.7567 
     6.6374e-5      54.5568 
    7.11901e-5      52.2173 
    7.74328e-5      49.5297 
    8.36331e-5      47.2018 
    8.97015e-5      45.1812 
    9.82558e-5      42.6537 
   0.000109909      39.4711 
   0.000118709       37.375 
   0.000127218      35.5875 
   0.000135499      34.0422 
   0.000145331      32.3921 
   0.000156968      30.6687 
   0.000167187      29.3299 
   0.000179318      27.9106 
   0.000190721      26.7234 
   0.000207263      25.1909 
   0.000220755      24.0942 
   0.000238034      22.8402 
   0.000254435      21.7863 
   0.000270999      20.8403 
   0.000290662      19.8301 
   0.000313937      18.7751 
   0.000334985      17.9331 
   0.000358683       17.085 
   0.000382033      16.3427 
   0.000412623      15.4703 
   0.000441161      14.7582 
   0.000476068      13.9825 
   0.000508871      13.3373 
   0.000541998      12.7582 
   0.000577287       12.197 
   0.000628564      11.4852 
    0.00066997      10.9785 
   0.000717366      10.4593 
   0.000762882      10.0135 
   0.000811287      9.58798 
   0.000875966      9.07939 
   0.000929508      8.70772 
    0.00098278      8.36975 
    0.00103631      8.06482 
     0.0011029      7.72373 
    0.00119017      7.32464 
    0.00127218       6.9939 
    0.00138374      6.59552 
    0.00148392      6.28212 
    0.00158052      6.01339 
    0.00167493      5.77514 
    0.00179342      5.50754 
    0.00194672      5.20096 
    0.00211743      4.89686 
    0.00227547      4.64474 
    0.00245768       4.3911 
    0.00261962      4.19187 
    0.00283827      3.95224 
    0.00298877      3.80767 
    0.00318665       3.6319 
    0.00345399      3.42397 
    0.00367457      3.27337 
    0.00395262      3.10261 
    0.00402822      3.06255 
    0.00429743       2.9458 
    0.00463067      2.81367 
    0.00510975      2.65003 
    0.00547692      2.54092 
    0.00594387      2.41615 
    0.00609001      2.38426 
     0.0067175      2.26511 
    0.00723902      2.17903 
    0.00790211      2.08105 
    0.00863882      1.96924 
    0.00926214      1.88227 
          0.01      1.79137 
     0.0114862      1.69486 
     0.0127482      1.62537 
     0.0143174      1.55128 
     0.0161383      1.47818 
     0.0177578      1.42283 
     0.0197234      1.36348 
     0.0226042      1.29623 
     0.0245606      1.25755 
     0.0271444      1.21176 
     0.0326919      1.12737 
      0.036416       1.0785 
          0.04      1.03733 
     0.0489738      0.99016 
     0.0514208     0.976365 
     0.0545687     0.956473 
     0.0597101     0.897712 
     0.0652646     0.855219 
     0.0709876     0.817568 
     0.0801334     0.764222 
     0.0829723     0.748422 
     0.0864147     0.700583 
          0.09     0.655792 
     0.0955375     0.614499 
           0.1     0.584332 
      0.108168     0.548991 
      0.115702     0.520595 
      0.124153     0.492617 
      0.130917     0.472482 
      0.140988     0.447071 
      0.151058      0.42458 
          0.16     0.407503 
      0.172114     0.394684 
          0.18     0.374413 
      0.201411     0.345025 
      0.215125     0.328527 
      0.226587     0.316069 
      0.246936     0.297045 
          0.25     0.294391 
       0.28776     0.274327 
      0.298604     0.269022 
           0.3     0.264663 
      0.317715     0.250856 
      0.331779     0.240804 
      0.352846     0.229885 
       0.37536     0.219795 
      0.377581     0.216653 
      0.389292     0.208742 
           0.4     0.200962 
      0.418615      0.19302 
      0.426226     0.187422 
      0.428615     0.186192 
      0.432645     0.181684 
       0.43386     0.179797 
      0.453641     0.166991 
      0.456529     0.165228 
      0.467325     0.160334 
      0.473703     0.156396 
      0.478572      0.15415 
      0.484775     0.150592 
           0.5     0.144086 
      0.521308     0.136813 
      0.546977     0.129657 
      0.551265     0.127808 
      0.568693     0.122743 
      0.571074     0.122125 
      0.580717     0.118621 
           0.6     0.113767 
      0.637114     0.105923 
       0.66518     0.100634 
      0.689821    0.0963297 
      0.728868     0.090067 
      0.766295    0.0846719 
      0.805643    0.0796049 
      0.848246    0.0747262 
      0.886552    0.0707923 
      0.930539    0.0667311 
      0.980874    0.0625707 
       1.00705    0.0606405 
       1.05621    0.0574461 
       1.10776    0.0544391 
       1.16512     0.051566 
       1.20846    0.0495868 
       1.28323    0.0465945 
       1.33365     0.044809 
       1.40988     0.042389 
       1.48475    0.0403215 
       1.57105     0.038208 
       1.63402    0.0368399 
       1.71199    0.0352527 
        1.8127    0.0334193 
       1.92681    0.0315544 
             2    0.0304354 
       2.13628    0.0287922 
          2.25    0.0275483 
       2.38844     0.025556 
           2.5    0.0241115 
       2.64052    0.0227141 
          2.75    0.0217165 
       2.87685    0.0201348 
       2.97227    0.0190523 
       3.04232    0.0183448 
       3.13986    0.0174236 
       3.24428    0.0165137 
       3.41192    0.0152214 
           3.5    0.0145984 
       3.61881    0.0136424 
       3.74556     0.012722 
       3.86157     0.011964 
       3.97188     0.011296 
