#ZVView-data-copy:  21-Dec-2022 12:59:13
#=======================================
#
#name:   TENDL-2021: HO-166(N,G)HO-167
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6402
#data...
#            X            Y
#          MeV        barns
    1.70134e-6       148060 
    1.70514e-6       138107 
    1.70895e-6       128840 
    1.71275e-6       120241 
    1.71655e-6       112282 
    1.72036e-6       104932 
    1.72416e-6      98152.1 
    1.72796e-6      91904.8 
    1.73177e-6        86151 
    1.73557e-6      80852.4 
    1.73938e-6      75972.1 
    1.74318e-6      71475.1 
    1.74698e-6      67328.6 
    1.75079e-6      63502.2 
    1.75459e-6      59967.7 
    1.75923e-6      56013.1 
    1.76387e-6      52412.6 
    1.76851e-6      49128.7 
    1.77316e-6        46128 
     1.7778e-6      43380.7 
    1.78248e-6      40838.1 
    1.78719e-6      38492.8 
     1.7919e-6      36335.9 
     1.7966e-6      34348.5 
    1.80131e-6        32514 
    1.80763e-6      30265.7 
    1.81399e-6        28222 
    1.82036e-6      26372.3 
    1.82672e-6      24693.6 
    1.83313e-6      23155.6 
    1.83959e-6      21743.8 
    1.84604e-6        20454 
    1.85249e-6      19272.7 
    1.85899e-6      18181.1 
    1.86554e-6      17170.7 
    1.87209e-6      16240.2 
    1.87863e-6      15381.6 
    1.88522e-6      14582.4 
    1.89518e-6      13485.7 
    1.90513e-6      12505.5 
    1.91518e-6      11618.3 
    1.92528e-6      10816.8 
    1.93538e-6      10093.6 
    1.94562e-6      9430.23 
    1.95586e-6      8828.67 
    1.96614e-6       8279.1 
    1.97653e-6      7773.66 
    1.98691e-6      7312.12 
    1.99739e-6      6885.82 
    2.00792e-6      6493.21 
    2.01845e-6      6132.55 
    2.02913e-6      5795.97 
    2.03981e-6      5485.72 
    2.05415e-6      5105.88 
    2.06859e-6       4760.9 
    2.08313e-6      4446.78 
    2.09777e-6      4160.11 
    2.11252e-6      3897.88 
    2.12737e-6      3657.51 
    2.14232e-6       3436.7 
    2.15738e-6      3233.47 
    2.17255e-6      3046.06 
    2.18782e-6      2872.93 
     2.2032e-6      2712.73 
    2.21868e-6      2564.27 
    2.23428e-6      2426.46 
    2.24999e-6      2298.37 
     2.2658e-6       2179.1 
    2.28969e-6      2015.37 
    2.31392e-6      1867.01 
    2.33838e-6      1732.87 
    2.36306e-6      1611.28 
    2.38798e-6      1500.79 
    2.41325e-6      1399.69 
    2.43875e-6      1307.43 
    2.46449e-6      1223.07 
    2.49048e-6      1145.75 
    2.51683e-6      1074.43 
    2.54343e-6      1008.84 
    2.57028e-6      948.427 
    2.59738e-6       892.68 
    2.62487e-6      840.926 
    2.65261e-6      793.039 
    2.68061e-6      748.669 
    2.70887e-6      707.507 
    2.73754e-6      669.087 
    2.76647e-6      633.342 
     2.8055e-6      589.427 
    2.84508e-6      549.348 
    2.88522e-6      512.704 
    2.92592e-6       479.14 
     2.9672e-6      448.347 
    3.00907e-6      420.054 
    3.05152e-6      394.018 
    3.09457e-6      370.019 
    3.13823e-6      347.869 
     3.1825e-6      327.404 
     3.2274e-6      308.477 
    3.27294e-6      290.938 
    3.31911e-6      274.669 
    3.36594e-6      259.566 
